iter	Passed	Remaining
0	2	210
1	3	192
2	5	184
3	11	264
4	15	300
5	20	323
6	23	306
7	24	285
8	26	267
9	28	253
10	29	241
11	31	232
12	33	223
13	35	216
14	37	213
15	39	206
16	41	200
17	42	195
18	44	190
19	46	185
20	48	181
21	49	176
22	51	173
23	53	169
24	55	165
25	57	162
26	58	158
27	60	155
28	62	152
29	64	149
30	66	147
31	67	144
32	69	141
33	71	138
34	73	135
35	74	133
36	76	130
37	78	128
38	81	127
39	83	124
40	84	122
41	86	119
42	88	117
43	89	113
44	91	111
45	93	109
46	95	107
47	96	104
48	98	102
49	100	100
50	102	98
51	103	95
52	106	94
53	107	91
54	109	89
55	111	87
56	113	85
57	114	83
58	116	80
59	118	78
60	121	77
61	123	75
62	126	74
63	128	72
64	131	70
65	132	68
66	134	66
67	137	64
68	140	63
69	143	61
70	145	59
71	146	57
72	148	55
73	150	53
74	152	50
75	154	48
76	156	46
77	157	44
78	158	42
79	160	40
80	163	38
81	165	36
82	166	34
83	168	32
84	170	30
85	172	28
86	173	25
87	175	23
88	177	21
89	179	19
90	180	17
91	182	15
92	184	13
93	186	11
94	187	9
95	189	7
96	191	5
97	193	3
98	194	1
99	196	0
