iter	Passed	Remaining
0	339	338832
1	341	170568
2	344	114354
3	346	86332
4	349	69462
5	354	58695
6	357	50643
7	359	44539
8	361	39792
9	435	43107
10	437	39350
11	441	36385
12	445	33810
13	451	31805
14	454	29821
15	456	28071
16	464	26885
17	468	25535
18	470	24281
19	472	23157
20	518	24163
21	520	23138
22	522	22199
23	524	21339
24	529	20668
25	532	19933
26	534	19255
27	536	18623
28	538	18035
29	546	17683
30	549	17166
31	551	16682
32	554	16240
33	558	15878
34	561	15473
35	563	15086
36	565	14719
37	567	14372
38	573	14133
39	575	13818
40	577	13517
41	580	13231
42	582	12965
43	590	12823
44	621	13198
45	624	12944
46	626	12698
47	632	12554
48	644	12514
49	647	12293
50	654	12172
51	657	11986
52	662	11830
53	666	11682
54	669	11503
55	710	11979
56	715	11834
57	718	11665
58	720	11492
59	722	11322
60	724	11158
61	727	11009
62	735	10933
63	737	10783
64	739	10636
65	741	10496
66	746	10391
67	790	10838
68	795	10738
69	798	10602
70	802	10498
71	805	10377
72	813	10333
73	815	10210
74	818	10088
75	821	9988
76	823	9874
77	827	9785
78	830	9677
79	906	10426
80	911	10340
81	916	10258
82	917	10135
83	919	10027
84	922	9925
85	926	9842
86	928	9741
87	930	9642
88	932	9546
89	934	9451
90	941	9405
91	944	9320
92	1011	9861
93	1013	9767
94	1015	9674
95	1017	9583
96	1020	9497
97	1023	9419
98	1025	9333
99	1027	9250
100	1030	9169
101	1032	9091
102	1038	9042
103	1040	8964
104	1098	9367
105	1104	9315
106	1106	9237
107	1109	9159
108	1111	9083
109	1113	9007
110	1118	8961
111	1121	8890
112	1123	8819
113	1125	8748
114	1127	8679
115	1133	8635
116	1134	8563
117	1178	8811
118	1186	8780
119	1188	8713
120	1190	8648
121	1192	8584
122	1195	8521
123	1202	8496
124	1204	8434
125	1207	8375
126	1208	8310
127	1211	8250
128	1218	8224
129	1255	8402
130	1258	8351
131	1300	8549
132	1302	8490
133	1304	8431
134	1307	8380
135	1319	8381
136	1322	8328
137	1324	8272
138	1335	8275
139	1339	8226
140	1356	8263
141	1415	8552
142	1418	8498
143	1420	8443
144	1422	8387
145	1428	8356
146	1499	8700
147	1591	9160
148	1596	9120
149	1600	9067
150	1602	9010
151	1604	8952
152	1607	8896
153	1616	8881
154	1618	8825
155	1621	8771
156	1625	8727
157	1627	8675
158	1686	8920
159	1719	9026
160	1720	8966
161	1729	8948
162	1732	8894
163	1734	8840
164	1736	8787
165	1745	8768
166	1747	8718
167	1750	8668
168	1752	8617
169	1774	8665
170	1778	8620
171	1811	8721
172	1813	8671
173	1816	8621
174	1825	8606
175	1828	8559
176	1831	8515
177	1834	8471
178	1840	8441
179	1842	8395
180	1849	8367
181	1851	8322
182	1922	8583
183	1925	8540
184	1928	8493
185	1937	8477
186	1940	8434
187	1942	8388
188	1951	8372
189	1953	8327
190	1955	8283
191	1957	8239
192	1960	8196
193	1962	8155
194	1965	8114
195	2037	8357
196	2048	8350
197	2050	8306
198	2052	8263
199	2055	8221
200	2063	8201
201	2066	8162
202	2068	8121
203	2070	8080
204	2088	8099
205	2096	8081
206	2103	8056
207	2105	8016
208	2107	7975
209	2109	7936
210	2111	7896
211	2120	7881
212	2122	7842
213	2124	7804
214	2127	7766
215	2133	7742
216	2135	7706
